code,edu
0,13.7
1000,16.3
1001,13.8
1003,11
1005,25.4
1007,22.1
1009,21.9
1011,34.5
1013,23.4
1015,19.9
1017,22.5
1019,20.5
1021,22.5
1023,25.9
1025,19.9
1027,25.1
1029,24.7
1031,16.9
1033,16.4
1035,24
1037,24.1
1039,20
1041,23.1
1043,18.5
1045,15.3
1047,22.3
1049,26.9
1051,12.8
1053,21.4
1055,17.9
1057,23.9
1059,25.6
1061,21.9
1063,24.9
1065,20.6
1067,20.5
1069,15.7
1071,24.7
1073,12.3
1075,22.1
1077,16
1079,21.9
1081,12.5
1083,17.4
1085,27.3
1087,18.7
1089,9.9
1091,15.7
1093,25.1
1095,22.9
1097,15.1
1099,21.4
1101,15
1103,18.1
1105,30.4
1107,21.4
1109,20
1111,25.5
1113,18.7
1115,17.6
1117,8.7
1119,22.9
1121,20.4
1123,19.7
1125,13
1127,22.9
1129,18
1131,21.4
1133,26.2
2000,8.2
2010,
2013,20.5
2016,14.5
2020,7.5
2050,19.8
2060,8.8
2068,9.1
2070,15.6
2090,6.6
2100,4.3
2105,10.1
2110,5.4
2122,6.7
2130,7.2
2150,9
2160,
2164,14.9
2170,7.5
2180,15.3
2185,12.9
2188,20.7
2195,4.6
2198,8.9
2201,
2220,8
2230,3.3
2231,
2232,
2240,8.1
2250,
2261,8.5
2270,23.2
2275,10.8
2280,
2282,8.2
2290,18.5
4000,14.1
4001,24.2
4003,13.7
4005,12.2
4007,16.4
4009,14.8
4011,14.9
4012,23.1
4013,13.4
4015,16.1
4017,19
4019,12.5
4021,15.1
4023,26.9
4025,10.1
4027,28.3
5000,15.7
5001,16.8
5003,15.2
5005,13
5007,13.6
5009,15.1
5011,20.6
5013,18.1
5015,16.6
5017,23.1
5019,14.6
5021,22.8
5023,15.4
5025,15.1
5027,16
5029,14.9
5031,13.5
5033,15.5
5035,19.5
5037,21.5
5039,16.1
5041,22.3
5043,17.1
5045,10.3
5047,16.8
5049,15.5
5051,13.1
5053,14.3
5055,16.2
5057,19.6
5059,15.6
5061,22.4
5063,18
5065,18.7
5067,23.1
5069,15.7
5071,21.7
5073,22.3
5075,18.9
5077,31.7
5079,25
5081,14.9
5083,18
5085,12.8
5087,23.3
5089,15.4
5091,15.4
5093,21.4
5095,24.1
5097,18.3
5099,18
5101,19.1
5103,14.5
5105,16.8
5107,25.2
5109,19.7
5111,24.5
5113,14.7
5115,17.2
5117,20.7
5119,10.2
5121,18.4
5123,22.7
5125,11.2
5127,24.2
5129,20.7
5131,17.6
5133,32
5135,18.5
5137,20
5139,17.1
5141,18.7
5143,17.1
5145,17.2
5147,29.5
5149,25.2
6000,18.5
6001,13.3
6003,8.6
6005,11.6
6007,12
6009,7.5
6011,31.3
6013,11.1
6015,18
6017,7.4
6019,26.8
6021,24.7
6023,9.7
6025,34.8
6027,11.8
6029,27
6031,29.1
6033,15.2
6035,20.6
6037,23.2
6039,30.5
6041,7.5
6043,11
6045,14.1
6047,32
6049,13.4
6051,15.7
6053,28.8
6055,17.2
6057,5.7
6059,16
6061,6
6063,10.2
6065,20.2
6067,13.8
6069,22.1
6071,21.7
6073,14.2
6075,13.3
6077,22.4
6079,10.4
6081,11.5
6083,20.7
6085,13.2
6087,14.5
6089,11.3
6091,9.9
6093,11.2
6095,12.5
6097,13.2
6099,22.8
6101,21.6
6103,17.9
6105,9.3
6107,32
6109,10.4
6111,17
6113,15
6115,20.4
8000,9.6
8001,18.2
8003,15.4
8005,8.2
8007,7.7
8009,14.5
8011,21.6
8013,6
8014,5.2
8015,9.5
8017,11.8
8019,4
8021,16
8023,24.5
8025,24.5
8027,4.4
8029,12
8031,14.4
8033,11.8
8035,2.6
8037,10.1
8039,4.2
8041,6.5
8043,15.7
8045,14.7
8047,5.4
8049,5
8051,5.5
8053,5.1
8055,14.7
8057,15.5
8059,6.2
8061,8.8
8063,16.8
8065,7.4
8067,5.7
8069,4.9
8071,14.3
8073,19.9
8075,12.4
8077,10.3
8079,3.5
8081,10.9
8083,9.9
8085,13.1
8087,20.8
8089,17.5
8091,1.9
8093,4.2
8095,16.2
8097,5.2
8099,19.7
8101,12.2
8103,8.8
8105,16.2
8107,3.5
8109,21.5
8111,5.6
8113,4.7
8115,12.1
8117,5.4
8119,6.9
8121,9.5
8123,13.5
8125,11.1
9000,10.5
9001,10.8
9003,11.4
9005,8.7
9007,6.2
9009,11.1
9011,9.1
9013,6.8
9015,12
10000,12
10001,14
10003,10.2
10005,14.7
11000,11.1
11001,11.1
12000,13.5
12001,8.2
12003,19.6
12005,12.4
12007,23.9
12009,9.5
12011,12.1
12013,26.7
12015,10.9
12017,13.2
12019,10
12021,14.3
12023,15.6
12027,29.4
12029,20.9
12031,11.6
12033,11.5
12035,10.2
12037,21.6
12039,23
12041,19.3
12043,24
12045,20.4
12047,23.8
12049,34.7
12051,34.3
12053,13.4
12055,18.4
12057,12.9
12059,24.3
12061,12.8
12063,21.2
12065,19.9
12067,24.4
12069,13.1
12071,13.1
12073,7.9
12075,19.2
12077,25
12079,20.6
12081,12.3
12083,14.7
12085,11
12086,20.5
12087,9.6
12089,10.5
12091,9
12093,31.3
12095,12.7
12097,15.8
12099,12.3
12101,12.5
12103,10.6
12105,16.9
12107,22.7
12109,6.2
12111,14.4
12113,9.8
12115,7.8
12117,7.8
12119,11.3
12121,21.6
12123,25.5
12125,25.2
12127,11.9
12129,12.5
12131,15.2
12133,19.6
13000,15
13001,24.4
13003,32.9
13005,25.8
13007,20.4
13009,17.5
13011,22.4
13013,17.7
13015,18.7
13017,21.3
13019,20.6
13021,17.3
13023,18.3
13025,22.9
13027,22.8
13029,10.8
13031,13.7
13033,22.8
13035,24.7
13037,31.7
13039,8.9
13043,23.3
13045,19.9
13047,16.6
13049,24.4
13051,11.3
13053,7
13055,31.9
13057,11.1
13059,14.5
13061,20
13063,18.2
13065,25.4
13067,9
13069,22.9
13071,28.6
13073,8.9
13075,25
13077,11.7
13079,20.9
13081,22.2
13083,19.7
13085,14.9
13087,21.1
13089,11.6
13091,20.4
13093,26.5
13095,20.2
13097,12.3
13099,20.2
13101,27
13103,14.3
13105,21.9
13107,22.7
13109,25
13111,20.1
13113,6.3
13115,22.1
13117,8.4
13119,28
13121,9.3
13123,22.5
13125,17.5
13127,13.4
13129,26.3
13131,27
13133,20.6
13135,12.7
13137,22
13139,21.5
13141,27.6
13143,23.6
13145,10.5
13147,19.2
13149,24.4
13151,10.4
13153,11
13155,18.3
13157,18.5
13159,20
13161,21
13163,28.2
13165,26.9
13167,24
13169,12.4
13171,16.4
13173,22
13175,19.2
13177,14.4
13179,9.8
13181,17.7
13183,15.7
13185,16.3
13187,14
13189,25.9
13191,21.4
13193,29.8
13195,19.6
13197,24
13199,28
13201,22
13205,26.8
13207,19.7
13209,17.8
13211,18.2
13213,31.2
13215,14.5
13217,16.4
13219,7.6
13221,18.1
13223,11
13225,15.6
13227,17.5
13229,20.4
13231,14.3
13233,24.8
13235,23.2
13237,15.3
13239,24.9
13241,14
13243,27.3
13245,16.3
13247,14.2
13249,25.9
13251,19
13253,18.6
13255,22.7
13257,17.9
13259,38.1
13261,23.3
13263,23.3
13265,33.7
13267,25.2
13269,25.4
13271,25.7
13273,31.6
13275,19.4
13277,21.5
13279,20
13281,11.3
13283,23.1
13285,16.5
13287,26.1
13289,31.2
13291,14.2
13293,23.5
13295,20.4
13297,15.7
13299,18.6
13301,29.6
13303,23.9
13305,18.5
13307,22.8
13309,26.9
13311,14.1
13313,31.5
13315,23.9
13317,22.2
13319,19.6
13321,25.8
15000,9.3
15001,9
15003,9.3
15005,17.9
15007,9
15009,9.4
16000,10.9
16001,6.2
16003,7.8
16005,8.4
16007,7.3
16009,14
16011,15.6
16013,9.8
16015,8.9
16017,8.4
16019,9
16021,12
16023,10
16025,16.3
16027,17.1
16029,11.2
16031,21.2
16033,22
16035,14.3
16037,10.1
16039,14.9
16041,9.3
16043,11.5
16045,13.5
16047,23
16049,10.2
16051,10.3
16053,29.4
16055,7.9
16057,4.2
16059,7.8
16061,11.5
16063,23.1
16065,4.9
16067,24.1
16069,9.5
16071,5.9
16073,25.7
16075,14.6
16077,20.1
16079,15.2
16081,11.7
16083,15.2
16085,7.1
16087,17.8
17000,12.4
17001,9.8
17003,25.9
17005,13.7
17007,13.6
17009,18.4
17011,9.8
17013,10.5
17015,10.5
17017,15
17019,6.4
17021,11.8
17023,10.3
17025,12.7
17027,10.9
17029,10.5
17031,15.2
17033,11
17035,12.3
17037,8.3
17039,7.2
17041,16.3
17043,7.7
17045,13.1
17047,12.5
17049,8.7
17051,16
17053,11.4
17055,13.6
17057,12.5
17059,18.1
17061,12.9
17063,8
17065,13.2
17067,9.1
17069,18.2
17071,10.5
17073,10.9
17075,11.9
17077,9.4
17079,9.2
17081,13.9
17083,9.2
17085,8.3
17087,16.3
17089,17
17091,13.2
17093,7.1
17095,13.1
17097,10.8
17099,11.4
17101,22.6
17103,11.9
17105,13.4
17107,13.4
17109,8
17111,7.8
17113,5.3
17115,11.3
17117,11.1
17119,8.6
17121,13.1
17123,8.7
17125,13.5
17127,17.2
17129,7.6
17131,9.6
17133,6.5
17135,14.7
17137,10.6
17139,15.4
17141,11
17143,9.9
17145,15
17147,6.5
17149,12.6
17151,13.6
17153,18.9
17155,10.5
17157,16.3
17159,10.3
17161,12.2
17163,10.3
17165,14.6
17167,7.5
17169,12.6
17171,11
17173,9.7
17175,12.3
17177,10
17179,7.5
17181,15.5
17183,13.7
17185,10.1
17187,11.5
17189,9.1
17191,13.7
17193,13.4
17195,12.3
17197,9.5
17199,11.2
17201,13.4
17203,6.5
18000,12.4
18001,16.2
18003,10.7
18005,10.3
18007,11.3
18009,13.5
18011,6.3
18013,12.3
18015,12.5
18017,17.8
18019,13
18021,13.2
18023,14.3
18025,17.7
18027,22.4
18029,10.4
18031,11.2
18033,11.2
18035,12
18037,13.4
18039,19.2
18041,19.9
18043,11.6
18045,13.2
18047,14.2
18049,15.1
18051,10
18053,14.5
18055,15.5
18057,3.8
18059,6.4
18061,11.5
18063,6.4
18065,13.7
18067,11.3
18069,11.1
18071,12.9
18073,12.1
18075,15.8
18077,15
18079,15.2
18081,8.3
18083,12.7
18085,14.9
18087,36.9
18089,13
18091,13.2
18093,15
18095,12.9
18097,15.1
18099,14.9
18101,18
18103,15.6
18105,7.8
18107,11.4
18109,11.9
18111,14.2
18113,16
18115,14.2
18117,18
18119,16.9
18121,15.3
18123,15.5
18125,12.7
18127,8.4
18129,7.3
18131,15.2
18133,12.6
18135,15.2
18137,12.9
18139,14.2
18141,11.6
18143,19.4
18145,13.5
18147,12.6
18149,17.5
18151,11
18153,14.4
18155,17.6
18157,9.2
18159,12.1
18161,12.6
18163,10.4
18165,11.3
18167,13.1
18169,12
18171,13.7
18173,7
18175,19.1
18177,15.8
18179,10.4
18181,11.2
18183,8.9
19000,8.7
19001,8.2
19003,9.5
19005,11.7
19007,12.4
19009,8.9
19011,7.9
19013,10.3
19015,6.1
19017,5.7
19019,8.3
19021,21.1
19023,8.5
19025,9.5
19027,8.4
19029,7.5
19031,7.9
19033,7
19035,8.5
19037,10.7
19039,12.3
19041,6.4
19043,8.2
19045,9.4
19047,21.9
19049,5.6
19051,13.7
19053,13.7
19055,10
19057,9.3
19059,5
19061,8.1
19063,11.6
19065,10.5
19067,10.5
19069,14.3
19071,7.7
19073,9.4
19075,5.8
19077,7.8
19079,9.2
19081,7.7
19083,9.3
19085,8.7
19087,8.7
19089,12.4
19091,8.4
19093,10
19095,7
19097,9.6
19099,8.6
19101,5.3
19103,5.2
19105,8.6
19107,9.5
19109,6.6
19111,9
19113,5.9
19115,16.9
19117,9.4
19119,9.4
19121,5.6
19123,9.2
19125,7.2
