Table 80,,,,
Full-time Law Enforcement Employees ,,,,
"by State by Metropolitan and Nonmetropolitan Counties, 2014",,,,
State,County,police,"Total
officers","Total
civilians"
ALABAMA-Metropolitan Counties,Autauga,62,25,37
,Baldwin,286,108,178
,Bibb,12,11,1
,Calhoun,58,53,5
,Colbert,50,31,19
,Elmore,101,50,51
,Etowah,165,67,98
,Geneva,30,12,18
,Hale,12,10,2
,Henry,17,13,4
,Lawrence,51,31,20
,Limestone,110,45,65
,Lowndes,38,15,23
,Madison,346,113,233
,Mobile,528,171,357
,Montgomery,168,128,40
,Russell,115,40,75
,St. Clair,56,46,10
,Tuscaloosa,204,101,103
,Walker,75,31,44
ALABAMA-Nonmetropolitan Counties,Barbour,11,11,0
,Bullock,13,6,7
,Butler,14,11,3
,Choctaw,13,6,7
,Clarke,36,12,24
,Clay,25,9,16
,Cleburne,27,11,16
,Covington,28,25,3
,Crenshaw,10,8,2
,Cullman,137,82,55
,Dale,48,23,25
,Dallas,48,24,24
,DeKalb,80,32,48
,Escambia,60,27,33
,Jackson,81,33,48
,Lamar,20,8,12
,Macon,39,17,22
,Monroe,52,17,35
,Perry,17,7,10
,Pike,30,18,12
,Randolph,34,16,18
,Talladega,100,37,63
,Tallapoosa,56,24,32
,Winston,26,9,17
ARIZONA-Metropolitan Counties,Cochise,181,78,103
,Coconino,239,56,183
,Maricopa,"3,440",678,"2,762"
,Mohave,266,87,179
,Pima,"1,466",519,947
,Pinal,590,216,374
,Yavapai,176,117,59
,Yuma,328,84,244
ARIZONA-Nonmetropolitan Counties,Apache,67,25,42
,Gila,134,47,87
,Graham,71,23,48
,Greenlee,44,17,27
,La Paz,86,29,57
,Navajo,135,51,84
,Santa Cruz,93,32,61
ARKANSAS-Metropolitan Counties,Benton,227,159,68
,Cleveland,13,8,5
,Craighead,106,39,67
,Crawford,62,30,32
,Crittenden,161,45,116
,Faulkner,153,41,112
,Garland,183,49,134
,Grant,17,14,3
,Jefferson,137,38,99
,Lincoln,22,9,13
,Little River,26,11,15
,Lonoke,60,28,32
,Madison,18,8,10
,Miller,69,22,47
,Perry,19,10,9
,Poinsett,42,14,28
,Pulaski,479,122,357
,Saline,96,42,54
,Sebastian,159,37,122
,Washington,293,157,136
ARKANSAS-Nonmetropolitan Counties,Arkansas,44,10,34
,Ashley,46,21,25
,Baxter,52,33,19
,Boone,52,25,27
,Bradley,7,5,2
,Calhoun,11,5,6
,Carroll,22,19,3
,Chicot,12,7,5
,Clark,28,13,15
