code,ab,County,pop_2014
0,US,United States,"318,907,401"
1000,AL,Alabama,"4,846,411"
1001,AL,Autauga County,"55,290"
1003,AL,Baldwin County,"199,713"
1005,AL,Barbour County,"26,815"
1007,AL,Bibb County,"22,549"
1009,AL,Blount County,"57,658"
1011,AL,Bullock County,"10,829"
1013,AL,Butler County,"20,276"
1015,AL,Calhoun County,"115,993"
1017,AL,Chambers County,"34,052"
1019,AL,Cherokee County,"25,995"
1021,AL,Chilton County,"43,921"
1023,AL,Choctaw County,"13,289"
1025,AL,Clarke County,"24,847"
1027,AL,Clay County,"13,538"
1029,AL,Cleburne County,"15,072"
1031,AL,Coffee County,"50,831"
1033,AL,Colbert County,"54,480"
1035,AL,Conecuh County,"12,662"
1037,AL,Coosa County,"10,807"
1039,AL,Covington County,"37,888"
1041,AL,Crenshaw County,"13,948"
1043,AL,Cullman County,"81,221"
1045,AL,Dale County,"49,501"
1047,AL,Dallas County,"41,662"
1049,AL,DeKalb County,"71,012"
1051,AL,Elmore County,"81,022"
1053,AL,Escambia County,"37,784"
1055,AL,Etowah County,"103,452"
1057,AL,Fayette County,"16,842"
1059,AL,Franklin County,"31,592"
1061,AL,Geneva County,"26,707"
1063,AL,Greene County,"8,553"
1065,AL,Hale County,"15,131"
1067,AL,Henry County,"17,176"
1069,AL,Houston County,"104,110"
1071,AL,Jackson County,"52,631"
1073,AL,Jefferson County,"660,368"
1075,AL,Lamar County,"14,050"
1077,AL,Lauderdale County,"93,063"
1079,AL,Lawrence County,"33,426"
1081,AL,Lee County,"154,426"
1083,AL,Limestone County,"90,612"
1085,AL,Lowndes County,"10,555"
1087,AL,Macon County,"19,387"
1089,AL,Madison County,"350,112"
1091,AL,Marengo County,"20,136"
1093,AL,Marion County,"30,246"
1095,AL,Marshall County,"94,356"
1097,AL,Mobile County,"414,926"
1099,AL,Monroe County,"21,897"
1101,AL,Montgomery County,"226,389"
1103,AL,Morgan County,"119,656"
1105,AL,Perry County,"9,855"
1107,AL,Pickens County,"20,339"
1109,AL,Pike County,"33,090"
1111,AL,Randolph County,"22,486"
1113,AL,Russell County,"59,712"
1115,AL,St. Clair County,"86,561"
1117,AL,Shelby County,"206,199"
1119,AL,Sumter County,"13,243"
1121,AL,Talladega County,"81,258"
1123,AL,Tallapoosa County,"41,112"
1125,AL,Tuscaloosa County,"202,519"
1127,AL,Walker County,"65,567"
1129,AL,Washington County,"16,863"
1131,AL,Wilcox County,"11,052"
1133,AL,Winston County,"24,101"
2000,AK,Alaska,"737,046"
2013,AK,Aleutians East Borough,"3,317"
2016,AK,Aleutians West Census Area,"5,751"
2020,AK,Anchorage Municipality,"300,357"
2050,AK,Bethel Census Area,"17,923"
2060,AK,Bristol Bay Borough,946
2068,AK,Denali Borough,"1,903"
2070,AK,Dillingham Census Area,"4,994"
2090,AK,Fairbanks North Star Borough,"99,371"
2100,AK,Haines Borough,"2,566"
2105,AK,Hoonah-Angoon Census Area,"2,091"
2110,AK,Juneau City and Borough,"32,625"
2122,AK,Kenai Peninsula Borough,"57,638"
2130,AK,Ketchikan Gateway Borough,"13,781"
2150,AK,Kodiak Island Borough,"14,007"
2158,AK,Kusilvak Census Area,"8,053"
2164,AK,Lake and Peninsula Borough,"1,629"
2170,AK,Matanuska-Susitna Borough,"98,285"
2180,AK,Nome Census Area,"9,833"
2185,AK,North Slope Borough,"9,713"
2188,AK,Northwest Arctic Borough,"7,748"
2195,AK,Petersburg Borough,"3,184"
2198,AK,Prince of Wales-Hyder Census Area,"6,384"
2220,AK,Sitka City and Borough,"8,881"
2230,AK,Skagway Municipality,"1,038"
2240,AK,Southeast Fairbanks Census Area,"6,978"
2261,AK,Valdez-Cordova Census Area,"9,493"
2275,AK,Wrangell City and Borough,"2,360"
2282,AK,Yakutat City and Borough,634
2290,AK,Yukon-Koyukuk Census Area,"5,563"
4000,AZ,Arizona,"6,728,783"
4001,AZ,Apache County,"71,858"
4003,AZ,Cochise County,"127,321"
4005,AZ,Coconino County,"137,637"
4007,AZ,Gila County,"53,139"
4009,AZ,Graham County,"37,958"
4011,AZ,Greenlee County,"9,323"
4012,AZ,La Paz County,"20,314"
4013,AZ,Maricopa County,"4,090,022"
4015,AZ,Mohave County,"203,331"
4017,AZ,Navajo County,"108,119"
4019,AZ,Pima County,"1,004,244"
4021,AZ,Pinal County,"396,521"
4023,AZ,Santa Cruz County,"46,661"
4025,AZ,Yavapai County,"218,852"
4027,AZ,Yuma County,"203,483"
5000,AR,Arkansas,"2,966,835"
5001,AR,Arkansas County,"18,564"
5003,AR,Ashley County,"20,926"
5005,AR,Baxter County,"40,842"
5007,AR,Benton County,"242,868"
5009,AR,Boone County,"37,152"
5011,AR,Bradley County,"11,061"
5013,AR,Calhoun County,"5,188"
5015,AR,Carroll County,"27,722"
5017,AR,Chicot County,"11,217"
5019,AR,Clark County,"22,699"
5021,AR,Clay County,"15,176"
5023,AR,Cleburne County,"25,664"
5025,AR,Cleveland County,"8,424"
5027,AR,Columbia County,"24,102"
5029,AR,Conway County,"21,030"
5031,AR,Craighead County,"102,671"
5033,AR,Crawford County,"61,670"
5035,AR,Crittenden County,"49,558"
5037,AR,Cross County,"17,187"
5039,AR,Dallas County,"7,757"
5041,AR,Desha County,"12,215"
5043,AR,Drew County,"18,729"
5045,AR,Faulkner County,"120,878"
5047,AR,Franklin County,"17,766"
5049,AR,Fulton County,"12,139"
5051,AR,Garland County,"97,185"
5053,AR,Grant County,"18,115"
5055,AR,Greene County,"43,729"
5057,AR,Hempstead County,"22,317"
5059,AR,Hot Spring County,"33,333"
5061,AR,Howard County,"13,460"
5063,AR,Independence County,"37,061"
5065,AR,Izard County,"13,488"
5067,AR,Jackson County,"17,503"
5069,AR,Jefferson County,"72,377"
5071,AR,Johnson County,"26,013"
5073,AR,Lafayette County,"7,128"
5075,AR,Lawrence County,"16,985"
5077,AR,Lee County,"9,787"
5079,AR,Lincoln County,"13,982"
5081,AR,Little River County,"12,531"
5083,AR,Logan County,"21,919"
5085,AR,Lonoke County,"71,488"
5087,AR,Madison County,"15,722"
5089,AR,Marion County,"16,401"
5091,AR,Miller County,"43,537"
5093,AR,Mississippi County,"44,282"
5095,AR,Monroe County,"7,598"
5097,AR,Montgomery County,"9,089"
5099,AR,Nevada County,"8,703"
5101,AR,Newton County,"7,910"
5103,AR,Ouachita County,"24,789"
5105,AR,Perry County,"10,239"
5107,AR,Phillips County,"19,901"
5109,AR,Pike County,"10,995"
5111,AR,Poinsett County,"24,150"
5113,AR,Polk County,"20,254"
5115,AR,Pope County,"63,047"
5117,AR,Prairie County,"8,315"
