code,ab,County,POVALL_2014
00000,US,United States,"48,208,387"
01000,AL,Alabama,"905,682"
01001,AL,Autauga County,"7,204"
01003,AL,Baldwin County,"25,696"
01005,AL,Barbour County,"5,943"
01007,AL,Bibb County,"3,666"
01009,AL,Blount County,"10,000"
01011,AL,Bullock County,"3,179"
01013,AL,Butler County,"4,988"
01015,AL,Calhoun County,"23,114"
01017,AL,Chambers County,"7,170"
01019,AL,Cherokee County,"4,768"
01021,AL,Chilton County,"7,874"
01023,AL,Choctaw County,"3,293"
01025,AL,Clarke County,"6,137"
01027,AL,Clay County,"2,592"
01029,AL,Cleburne County,"2,527"
01031,AL,Coffee County,"8,407"
01033,AL,Colbert County,"9,022"
01035,AL,Conecuh County,"3,846"
01037,AL,Coosa County,"1,976"
01039,AL,Covington County,"7,778"
01041,AL,Crenshaw County,"2,929"
01043,AL,Cullman County,"13,809"
01045,AL,Dale County,"10,865"
01047,AL,Dallas County,"14,470"
01049,AL,DeKalb County,"16,856"
01051,AL,Elmore County,"10,867"
01053,AL,Escambia County,"8,639"
01055,AL,Etowah County,"19,291"
01057,AL,Fayette County,"3,425"
01059,AL,Franklin County,"7,222"
01061,AL,Geneva County,"6,303"
01063,AL,Greene County,"2,819"
01065,AL,Hale County,"4,182"
01067,AL,Henry County,"2,925"
01069,AL,Houston County,"20,643"
01071,AL,Jackson County,"11,440"
01073,AL,Jefferson County,"125,778"
01075,AL,Lamar County,"2,856"
01077,AL,Lauderdale County,"17,041"
01079,AL,Lawrence County,"5,499"
01081,AL,Lee County,"37,752"
01083,AL,Limestone County,"11,912"
01085,AL,Lowndes County,"3,285"
01087,AL,Macon County,"5,649"
01089,AL,Madison County,"48,750"
01091,AL,Marengo County,"5,071"
01093,AL,Marion County,"5,925"
01095,AL,Marshall County,"20,528"
01097,AL,Mobile County,"80,016"
01099,AL,Monroe County,"5,484"
01101,AL,Montgomery County,"48,844"
01103,AL,Morgan County,"17,665"
01105,AL,Perry County,"4,246"
01107,AL,Pickens County,"4,667"
01109,AL,Pike County,"8,237"
01111,AL,Randolph County,"4,512"
01113,AL,Russell County,"12,309"
01115,AL,St. Clair County,"12,071"
01117,AL,Shelby County,"19,610"
01119,AL,Sumter County,"4,692"
01121,AL,Talladega County,"17,499"
01123,AL,Tallapoosa County,"8,633"
01125,AL,Tuscaloosa County,"34,553"
01127,AL,Walker County,"15,161"
01129,AL,Washington County,"3,077"
01131,AL,Wilcox County,"3,697"
01133,AL,Winston County,"4,796"
02000,AK,Alaska,"81,622"
02013,AK,Aleutians East Borough,544
02016,AK,Aleutians West Census Area,549
02020,AK,Anchorage Borough,"29,207"
02050,AK,Bethel Census Area,"4,166"
02060,AK,Bristol Bay Borough,89
02068,AK,Denali Borough,133
02070,AK,Dillingham Census Area,867
02090,AK,Fairbanks North Star Borough,"9,011"
02100,AK,Haines Borough,252
02105,AK,Hoonah-Angoon Census Area,397
02110,AK,Juneau Borough,"2,500"
02122,AK,Kenai Peninsula Borough,"6,472"
02130,AK,Ketchikan Gateway Borough,"1,685"
02150,AK,Kodiak Island Borough,"1,146"
02164,AK,Lake and Peninsula Borough,288
02170,AK,Matanuska-Susitna Borough,"10,243"
02180,AK,Nome Census Area,"2,509"
02185,AK,North Slope Borough,"1,112"
02188,AK,Northwest Arctic Borough,"1,771"
02195,AK,Petersburg Borough,276
02198,AK,Prince of Wales-Hyder Census Area,"1,105"
02220,AK,Sitka Borough,750
02230,AK,Skagway Municipality,37
02240,AK,Southeast Fairbanks Census Area,949
02261,AK,Valdez-Cordova Census Area,931
02270,AK,Wade Hampton Census Area,"2,845"
02275,AK,Wrangell City and Borough,280
02282,AK,Yakutat Borough,94
02290,AK,Yukon-Koyukuk Census Area,"1,416"
04000,AZ,Arizona,"1,195,889"
04001,AZ,Apache County,"23,458"
04003,AZ,Cochise County,"22,879"
04005,AZ,Coconino County,"27,154"
04007,AZ,Gila County,"12,683"
04009,AZ,Graham County,"6,907"
04011,AZ,Greenlee County,955
04012,AZ,La Paz County,"4,545"
04013,AZ,Maricopa County,"687,643"
04015,AZ,Mohave County,"41,178"
04017,AZ,Navajo County,"30,157"
04019,AZ,Pima County,"183,590"
04021,AZ,Pinal County,"66,073"
04023,AZ,Santa Cruz County,"10,966"
