year,prison,parole
1985,158.5,29966
1986,186.1,33872
1987,207,42298
1988,234,50832
1989,266,59313
1990,294.5,70479
1991,303.6,82603
1992,320.9,86389
1993,345.8,85886
1994,356.1,89609
1995,380.2,96110
1996,407.1,100934
1997,430.1,105449
1998,439.6,111875
1999,439.3,117612
2000,435.8,121414
2001,424.1,121820
2002,428,117138
2003,431.6,114136
2004,435,113768
2005,436.5,115001
2006,450.7,121808
2007,472.1,126906
2008,463.9,123597
2009,451.4,109026
2010,436,91701
2011,392.5,
2012,350.7,
2013,351.7,
2014,348.7,
2015,328.6,
